Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
5.413964208333334, 1, 1, 0, 1, 1, 1, 1, 1
5.413964541666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413969375000001, 1, 0, 1, 1, 1, 1, 1, 1
5.413974208333333, 1, 0, 0, 1, 1, 1, 1, 1
5.413974625000001, 1, 1, 0, 1, 1, 1, 1, 1
5.413979333333334, 1, 1, 1, 1, 1, 1, 1, 1
5.413984250000000, 1, 1, 0, 1, 1, 1, 1, 1
5.413989333333333, 1, 1, 1, 1, 1, 1, 1, 1
5.413994250000000, 1, 1, 0, 1, 1, 1, 1, 1
5.413994541666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413999416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414004250000001, 1, 0, 0, 1, 1, 1, 1, 1
5.414004666666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414009333333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414014250000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414014583333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414019416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414024250000001, 1, 0, 0, 1, 1, 1, 1, 1
5.414024666666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414029375000000, 1, 1, 1, 1, 1, 1, 1, 1
5.414034250000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414036750000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414039375000001, 1, 0, 1, 1, 1, 1, 1, 1
5.414044291666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414047083333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414053416666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414058333333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414063458333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414068333333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414073416666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414078375000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414083458333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414088375000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414093458333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414098375000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414103458333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414108375000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414113458333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414118375000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414123458333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414128375000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414128708333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414133541666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414138416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414138791666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414148666666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414153583333333, 1, 1, 0, 1, 1, 1, 1, 1
5.414158708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414163625000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414168708333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414173625000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414178708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414183625000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414188708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414193625000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414198708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414203625000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414208708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.414213625000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414218750000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414223625000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414223958333333, 1, 0, 0, 1, 1, 1, 1, 1
5.414228791666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414233666666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414234041666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414244000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.414248916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414254000000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414258916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414260208333333, 1, 0, 0, 1, 1, 1, 1, 1
5.414264041666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414268916666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414270583333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414274000000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414278916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414280083333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414284041666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414288958333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414290416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414294000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.414298958333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414304041666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414308958333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414310125000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414314083333334, 1, 0, 1, 1, 1, 1, 1, 1
5.414318958333333, 1, 0, 0, 1, 1, 1, 1, 1
5.414320458333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414324041666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414328958333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414334833333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414339625000000, 1, 0, 1, 1, 1, 1, 1, 1
5.414345416666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414745666666667, 1, 0, 1, 1, 1, 1, 1, 1
